;Date;Price;Open;High;Low;Vol.;Change %
113;Feb 18, 2019;46100;46050;46450;46000;1.07M;0.22%
114;Feb 15, 2019;46000;45900;46200;45600;908.75K;-0.43%
115;Feb 14, 2019;46200;46050;46300;45800;1.52M;0.11%
116;Feb 13, 2019;46150;45700;46250;45500;1.21M;1.43%
117;Feb 12, 2019;45500;46000;46150;45350;2.05M;-1.83%
118;Feb 11, 2019;46350;47150;47250;46250;1.80M;-3.64%
119;Feb 08, 2019;48100;47750;48800;47750;1.08M;0.10%
120;Feb 07, 2019;48050;48350;48900;47800;1.04M;-1.13%
121;Feb 01, 2019;48600;48300;49200;47850;1.59M;1.14%
122;Jan 31, 2019;48050;47100;48900;46800;2.27M;3.00%
123;Jan 30, 2019;46650;46400;46650;45700;1.17M;1.19%
124;Jan 29, 2019;46100;45800;46150;45600;832.56K;0.66%
125;Jan 28, 2019;45800;46300;46500;45800;1.17M;-1.08%
126;Jan 25, 2019;46300;45950;46300;45400;1.13M;0.87%
127;Jan 24, 2019;45900;45200;46100;45150;1.28M;1.21%
128;Jan 23, 2019;45350;45850;45850;45100;1.50M;-0.87%
129;Jan 22, 2019;45750;45600;45800;45300;1.36M;-0.76%
130;Jan 21, 2019;46100;46500;46700;46000;1.19M;-1.28%
131;Jan 18, 2019;46700;47350;47400;46550;1.05M;-1.89%
132;Jan 17, 2019;47600;47800;47850;47050;874.63K;0.32%
133;Jan 16, 2019;47450;46900;47700;46450;1.04M;1.50%
134;Jan 15, 2019;46750;45000;46750;44800;1.31M;4.94%
135;Jan 14, 2019;44550;45450;45850;44400;1.19M;-1.76%
136;Jan 11, 2019;45350;45550;46100;45150;1.06M;-0.33%
137;Jan 10, 2019;45500;46500;46500;45500;1.19M;-2.05%
138;Jan 09, 2019;46450;46050;46650;45800;885.36K;2.09%
139;Jan 08, 2019;45500;45900;45950;45300;842.05K;0.11%
140;Jan 07, 2019;45450;45800;46650;45450;957.13K;-0.44%
141;Jan 04, 2019;45650;46500;46600;45600;783.66K;-1.72%
142;Jan 03, 2019;46450;46600;46800;46200;1.28M;1.09%
143;Jan 02, 2019;45950;46700;46900;45600;635.98K;-1.18%
144;Dec 28, 2018;46500;45700;46500;45700;827.22K;2.31%
145;Dec 27, 2018;45450;46500;46550;45250;1.33M;-4.92%
146;Dec 26, 2018;47800;48300;48700;47050;1.20M;-1.95%
147;Dec 24, 2018;48750;48400;49100;48200;606.19K;-0.41%
148;Dec 21, 2018;48950;48650;48950;47850;1.14M;0.20%
149;Dec 20, 2018;48850;48400;49250;48350;1.04M;1.35%
150;Dec 19, 2018;48200;48700;48950;48100;1.06M;-1.53%
151;Dec 18, 2018;48950;48350;49150;48200;1.20M;1.56%
152;Dec 17, 2018;48200;48100;48900;48100;880.96K;0.52%
153;Dec 14, 2018;47950;47450;48200;47300;928.85K;1.37%
154;Dec 13, 2018;47300;46800;47750;46450;2.22M;1.07%
155;Dec 12, 2018;46800;45700;47050;45350;936.88K;2.63%
156;Dec 11, 2018;45600;45000;45800;44200;1.32M;0.88%
157;Dec 10, 2018;45200;46700;46800;45000;1.72M;-3.93%
158;Dec 07, 2018;47050;47250;47750;47050;842.40K;-1.47%
159;Dec 06, 2018;47750;48400;48400;47550;819.18K;-0.52%
160;Dec 05, 2018;48000;47600;48100;47100;1.16M;0.10%
161;Dec 04, 2018;47950;47150;47950;47150;1.12M;1.59%
162;Dec 03, 2018;47200;47950;48400;46950;1.30M;0.00%
163;Nov 30, 2018;47200;48350;48650;46850;2.07M;-2.68%
164;Nov 29, 2018;48500;48950;48950;48050;1.34M;0.31%
165;Nov 28, 2018;48350;48650;48650;47800;1.04M;0.00%
166;Nov 27, 2018;48350;47650;48550;47650;1.13M;1.58%
167;Nov 26, 2018;47600;47150;47600;46900;947.03K;1.06%
168;Nov 25, 2018;47100;47100;47100;47100;-;0.53%
169;Nov 23, 2018;46850;47000;47200;46650;412.55K;-0.11%
170;Nov 22, 2018;46900;46700;46950;46200;599.05K;0.75%
171;Nov 21, 2018;46550;46600;46950;45900;1.13M;-0.85%
172;Nov 20, 2018;46950;46800;47000;46600;1.06M;0.11%
173;Nov 19, 2018;46900;47100;47500;46850;748.03K;-0.74%
174;Nov 18, 2018;47250;47200;47250;47200;-;0.32%
175;Nov 16, 2018;47100;47300;47450;46950;753.42K;0.00%
176;Nov 15, 2018;47100;47300;47750;47000;893.69K;0.00%
177;Nov 14, 2018;47100;47100;47400;46850;804.43K;0.11%
178;Nov 13, 2018;47050;47100;47100;46650;1.36M;-1.36%
179;Nov 12, 2018;47700;47650;48100;47600;928.25K;0.00%
180;Nov 11, 2018;47700;47700;47700;47700;-;-0.21%
181;Nov 09, 2018;47800;48450;48800;47750;1.36M;-1.34%
182;Nov 08, 2018;48450;48600;49550;48450;1.52M;0.94%
183;Nov 07, 2018;48000;48550;48950;47700;1.03M;-1.13%
184;Nov 06, 2018;48550;48850;49000;48250;786.31K;-0.21%
185;Nov 05, 2018;48650;48750;48900;48050;986.76K;-0.41%
186;Nov 04, 2018;48850;48850;48850;48850;-;-0.41%
187;Nov 02, 2018;49050;48100;49200;48100;1.25M;2.72%
188;Nov 01, 2018;47750;48000;48400;47450;1.31M;0.74%
189;Oct 31, 2018;47400;47650;48550;46750;2.99M;-2.77%
190;Oct 30, 2018;48750;51000;51200;48600;1.90M;-5.52%
191;Oct 29, 2018;51600;51100;51800;50700;979.78K;1.18%
192;Oct 26, 2018;51000;51300;52300;50200;1.10M;-0.58%
193;Oct 25, 2018;51300;51500;51500;50300;1.22M;-1.54%
194;Oct 24, 2018;52100;51600;52400;50900;940.98K;2.16%
195;Oct 23, 2018;51000;52400;52400;50600;877.97K;-2.67%
196;Oct 22, 2018;52400;51100;52500;51000;770.16K;2.54%
197;Oct 21, 2018;51100;50900;51100;50900;-;0.00%
198;Oct 19, 2018;51100;50900;51400;50600;925.86K;-0.58%
199;Oct 18, 2018;51400;51900;52500;51100;902.84K;-2.10%
200;Oct 17, 2018;52500;52600;53100;52100;632.23K;1.16%
201;Oct 16, 2018;51900;53200;53400;51800;568.90K;-1.14%
202;Oct 15, 2018;52500;52400;53100;51400;686.82K;0.19%
203;Oct 14, 2018;52400;52400;52400;52400;-;0.00%
204;Oct 12, 2018;52400;52700;52800;51000;1.18M;-0.76%
205;Oct 11, 2018;52800;54600;55300;52200;1.61M;-4.69%
206;Oct 10, 2018;55400;55500;55900;54800;1.25M;-1.07%
207;Oct 09, 2018;56000;56000;56000;56000;-;0.00%
208;Oct 08, 2018;56000;56400;56400;55500;803.80K;-0.36%
209;Oct 07, 2018;56200;56200;56200;56200;-;0.00%
210;Oct 05, 2018;56200;55800;56700;55300;1.06M;0.18%
211;Oct 04, 2018;56100;54300;56500;54300;1.93M;2.94%
212;Oct 03, 2018;54500;54500;54500;54500;-;0.00%
213;Oct 02, 2018;54500;54700;55700;54100;984.21K;-1.98%
214;Oct 01, 2018;55600;55000;55900;54800;1.25M;2.58%
215;Sep 30, 2018;54200;54200;54200;54200;-;0.00%
216;Sep 28, 2018;54200;54100;54500;53600;1.20M;0.93%
217;Sep 27, 2018;53700;53200;53700;52400;1.39M;0.94%
218;Sep 26, 2018;53200;53200;53200;53200;-;0.00%
219;Sep 21, 2018;53200;52000;53400;51700;1.84M;3.30%
220;Sep 20, 2018;51500;50600;51800;50100;1.47M;2.18%
221;Sep 19, 2018;50400;50300;50700;50100;833.77K;0.20%
222;Sep 18, 2018;50300;50400;50800;50100;559.92K;-0.20%
223;Sep 17, 2018;50400;50900;51200;50200;696.74K;-1.37%
224;Sep 16, 2018;51100;51100;51100;51100;-;0.00%
225;Sep 14, 2018;51100;52100;52100;51100;925.21K;-2.11%
226;Sep 13, 2018;52200;51600;52200;51300;1.04M;1.56%
227;Sep 12, 2018;51400;51300;51400;51000;445.28K;0.59%
228;Sep 11, 2018;51100;51000;51200;50600;717.58K;0.20%
229;Sep 10, 2018;51000;51100;51500;50900;744.79K;0.59%
230;Sep 09, 2018;50700;50700;50700;50700;-;0.00%
231;Sep 07, 2018;50700;51000;51000;50300;653.57K;0.40%
232;Sep 06, 2018;50500;50500;50900;50300;492.04K;0.20%
233;Sep 05, 2018;50400;51100;51200;50200;706.83K;-1.95%
234;Sep 04, 2018;51400;51300;51700;51000;361.65K;0.19%
235;Sep 03, 2018;51300;51600;51600;51000;632.31K;-0.77%
236;Sep 02, 2018;51700;51700;51700;51700;-;0.00%
237;Aug 31, 2018;51700;50900;51800;50500;810.21K;0.58%
238;Aug 30, 2018;51400;52400;52500;51000;1.05M;-2.47%
239;Aug 29, 2018;52700;52600;53000;52300;429.69K;0.00%
240;Aug 28, 2018;52700;52900;53500;52500;728.42K;-0.19%
241;Aug 27, 2018;52800;51700;52900;51600;998.06K;2.33%
242;Aug 26, 2018;51600;51600;51600;51600;-;0.00%
243;Aug 24, 2018;51600;51100;51900;50900;589.00K;1.57%
244;Aug 23, 2018;50800;51300;51400;50600;642.91K;-0.20%
245;Aug 22, 2018;50900;51300;51400;50600;591.75K;-0.78%
246;Aug 21, 2018;51300;50900;51800;50400;735.23K;0.20%
247;Aug 20, 2018;51200;51600;51600;50900;697.03K;0.00%
248;Aug 17, 2018;51200;50400;51700;50200;969.66K;1.99%
249;Aug 16, 2018;50200;49950;50600;49400;1.31M;-0.40%
250;Aug 15, 2018;50400;50400;50400;50400;-;0.00%
251;Aug 14, 2018;50400;50600;50800;50100;1.19M;-1.37%
252;Aug 13, 2018;51100;51600;51900;50600;840.83K;-1.16%
253;Aug 12, 2018;51700;51700;51700;51700;-;0.00%
254;Aug 10, 2018;51700;52000;52400;51700;968.34K;-0.19%
255;Aug 09, 2018;51800;52700;52800;51800;1.09M;-1.52%
256;Aug 08, 2018;52600;52600;53300;52500;688.99K;-0.38%
257;Aug 07, 2018;52800;52600;53400;52500;505.40K;-0.56%
258;Aug 06, 2018;53100;52600;53200;52500;439.43K;0.57%
259;Aug 05, 2018;52800;52800;52800;52800;-;0.00%
260;Aug 03, 2018;52800;52400;52900;51600;568.84K;0.57%
261;Aug 02, 2018;52500;53500;53700;52200;831.72K;-2.60%
262;Aug 01, 2018;53900;54200;54700;53600;429.66K;0.56%
263;Jul 31, 2018;53600;53800;54000;53300;570.51K;-0.56%
