;Date;Price;Open;High;Low;Vol.;Change %
51;May 28, 2019;65900;67200;68300;65900;11.15M;-1.49%
52;May 27, 2019;66900;67900;68200;66400;2.20M;-1.04%
53;May 24, 2019;67600;67300;68600;67000;3.30M;-0.59%
54;May 23, 2019;68000;68400;69100;67300;3.10M;-1.31%
55;May 22, 2019;68900;71300;71300;68500;3.07M;-1.99%
56;May 21, 2019;70300;70500;72200;69700;3.88M;-0.85%
57;May 20, 2019;70900;71800;72800;70700;1.97M;-0.98%
58;May 17, 2019;71600;72500;73300;71400;2.41M;-0.42%
59;May 16, 2019;71900;74400;75100;71600;3.46M;-3.49%
60;May 15, 2019;74500;74800;75100;73900;2.05M;-0.13%
61;May 14, 2019;74600;72200;75100;71600;3.69M;1.50%
62;May 13, 2019;73500;73900;75000;72800;2.73M;-1.21%
63;May 10, 2019;74400;76100;76700;73400;5.35M;-2.11%
64;May 09, 2019;76000;79600;79700;75200;5.51M;-5.35%
65;May 08, 2019;80300;78700;80500;78000;2.73M;0.50%
66;May 07, 2019;79900;79200;80400;78700;2.65M;-0.62%
67;May 03, 2019;80400;81100;81300;80300;2.35M;-0.37%
68;May 02, 2019;80700;79700;81200;79100;3.09M;2.15%
69;Apr 30, 2019;79000;79400;80700;78100;2.95M;-1.25%
70;Apr 29, 2019;80000;78700;80100;78200;2.94M;1.78%
71;Apr 26, 2019;78600;78500;79900;77600;4.71M;-2.00%
72;Apr 25, 2019;80200;78400;81500;78100;5.36M;2.17%
73;Apr 24, 2019;78500;81500;81500;77500;4.10M;-3.09%
74;Apr 23, 2019;81000;81000;81800;80400;1.78M;0.62%
75;Apr 22, 2019;80500;81500;81800;79900;1.89M;-1.59%
76;Apr 19, 2019;81800;80500;82400;80100;3.04M;3.28%
77;Apr 18, 2019;79200;80800;81200;78500;3.08M;-1.25%
78;Apr 17, 2019;80200;81000;82300;80000;2.85M;-0.25%
79;Apr 16, 2019;80400;79900;80800;79100;2.20M;0.88%
80;Apr 15, 2019;79700;79000;79900;78600;2.02M;2.05%
81;Apr 12, 2019;78100;77400;78800;77400;1.97M;-0.38%
82;Apr 11, 2019;78400;79200;79500;78000;2.15M;-0.25%
83;Apr 10, 2019;78600;76700;78800;76200;2.46M;1.03%
84;Apr 09, 2019;77800;77700;78700;77400;2.32M;-0.13%
85;Apr 08, 2019;77900;78900;79200;77600;2.65M;-1.39%
86;Apr 05, 2019;79000;78200;79300;77900;2.06M;0.77%
87;Apr 04, 2019;78400;80400;81400;77800;5.30M;-1.88%
88;Apr 03, 2019;79900;76800;79900;76500;4.66M;4.58%
89;Apr 02, 2019;76400;77900;78000;76100;2.62M;-0.26%
90;Apr 01, 2019;76600;75600;77100;75500;3.57M;3.23%
91;Mar 29, 2019;74200;72900;74900;72700;3.21M;2.63%
92;Mar 28, 2019;72300;72300;73600;71700;2.77M;-1.50%
93;Mar 27, 2019;73400;71800;74100;71200;2.74M;0.96%
94;Mar 26, 2019;72700;72900;73300;71500;2.97M;-0.27%
95;Mar 25, 2019;72900;73700;74200;72600;3.74M;-4.20%
96;Mar 22, 2019;76100;78900;78900;75900;5.28M;0.26%
97;Mar 21, 2019;75900;73500;76000;72600;10.00M;7.66%
98;Mar 20, 2019;70500;68400;70600;67600;3.59M;3.68%
99;Mar 19, 2019;68000;67300;68000;66600;2.24M;0.29%
100;Mar 18, 2019;67800;69200;69300;67300;2.15M;-0.44%
101;Mar 15, 2019;68100;67400;68700;66700;3.46M;1.19%
102;Mar 14, 2019;67300;67400;67400;66400;3.10M;0.75%
103;Mar 13, 2019;66800;67700;67800;65900;2.85M;-1.33%
104;Mar 12, 2019;67700;67700;68600;67500;2.75M;1.65%
105;Mar 11, 2019;66600;67000;67800;66200;2.86M;-0.15%
106;Mar 08, 2019;66700;67900;68200;66200;3.55M;-2.06%
107;Mar 07, 2019;68100;67200;68900;67100;3.39M;0.00%
108;Mar 06, 2019;68100;68500;69600;67400;4.89M;-2.30%
109;Mar 05, 2019;69700;68300;70000;68300;3.46M;-0.57%
110;Mar 04, 2019;70100;70300;71400;69900;4.90M;0.14%
111;Feb 28, 2019;70000;72500;72600;69900;7.79M;-5.02%
112;Feb 27, 2019;73700;75300;75700;73700;2.86M;-1.99%
113;Feb 26, 2019;75200;75000;75900;74100;2.48M;-0.27%
114;Feb 25, 2019;75400;77300;77600;74800;2.86M;-1.69%
115;Feb 22, 2019;76700;75600;76700;75300;1.88M;0.00%
116;Feb 21, 2019;76700;75300;77200;74600;2.87M;1.32%
117;Feb 20, 2019;75700;73700;76000;73600;3.13M;2.71%
118;Feb 19, 2019;73700;74500;74800;73000;1.46M;-1.34%
119;Feb 18, 2019;74700;74300;75300;74000;1.77M;1.22%
120;Feb 15, 2019;73800;76800;76900;73800;3.99M;-4.65%
121;Feb 14, 2019;77400;75800;77400;75100;2.31M;1.57%
122;Feb 13, 2019;76200;77300;77600;76100;2.36M;0.40%
123;Feb 12, 2019;75900;74100;76400;73900;3.50M;2.43%
124;Feb 11, 2019;74100;73000;74100;72200;3.37M;0.82%
125;Feb 08, 2019;73500;75200;75500;73000;4.00M;-4.17%
126;Feb 07, 2019;76700;77500;78200;76600;4.13M;1.05%
127;Feb 01, 2019;75900;75400;76400;74700;3.34M;2.71%
128;Jan 31, 2019;73900;76900;77100;73700;4.36M;-2.64%
129;Jan 30, 2019;75900;73500;76300;73000;5.29M;3.41%
130;Jan 29, 2019;73400;71400;73800;71000;3.37M;2.23%
131;Jan 28, 2019;71800;74700;74900;71200;4.89M;-3.75%
132;Jan 25, 2019;74600;71600;74800;71100;7.04M;5.82%
133;Jan 24, 2019;70500;66900;70500;66900;6.89M;5.54%
134;Jan 23, 2019;66800;65500;67200;64800;2.82M;0.30%
135;Jan 22, 2019;66600;67900;68000;65700;4.00M;-0.60%
136;Jan 21, 2019;67000;65900;67400;65000;3.77M;3.72%
137;Jan 18, 2019;64600;65000;65700;63900;2.05M;-0.46%
138;Jan 17, 2019;64900;65500;66200;64600;2.47M;0.15%
139;Jan 16, 2019;64800;63800;64900;62700;2.47M;1.25%
140;Jan 15, 2019;64000;62200;64000;62200;2.41M;3.06%
141;Jan 14, 2019;62100;64300;65100;62000;3.28M;-4.61%
142;Jan 11, 2019;65100;65400;65900;64200;2.78M;-0.31%
143;Jan 10, 2019;65300;64100;65600;64000;5.32M;2.67%
144;Jan 09, 2019;63600;59600;63800;59400;4.92M;7.43%
145;Jan 08, 2019;59200;57900;60500;57600;3.06M;0.85%
146;Jan 07, 2019;58700;59000;59700;58400;2.17M;0.69%
147;Jan 04, 2019;58300;57500;58500;56700;3.37M;1.04%
148;Jan 03, 2019;57700;60200;60300;57500;3.32M;-4.79%
149;Jan 02, 2019;60600;61300;61400;60000;1.92M;0.17%
150;Dec 28, 2018;60500;61700;62300;60500;1.61M;-1.79%
151;Dec 27, 2018;61600;61600;61900;60600;3.04M;2.50%
152;Dec 26, 2018;60100;59400;60800;59300;2.44M;-0.50%
153;Dec 24, 2018;60400;59600;60700;59200;2.05M;0.67%
154;Dec 21, 2018;60000;58200;60500;58200;3.93M;2.39%
155;Dec 20, 2018;58600;59300;59400;58100;4.52M;-2.82%
156;Dec 19, 2018;60300;60800;61000;59700;3.54M;-1.31%
157;Dec 18, 2018;61100;61000;61900;60800;3.09M;-1.77%
158;Dec 17, 2018;62200;61600;62500;61000;2.50M;0.65%
159;Dec 14, 2018;61800;65200;65300;61200;5.47M;-5.65%
160;Dec 13, 2018;65500;66300;66400;64800;4.03M;-1.06%
161;Dec 12, 2018;66200;65000;66200;64900;2.56M;2.00%
162;Dec 11, 2018;64900;66000;66600;64800;2.40M;-0.92%
163;Dec 10, 2018;65500;65900;65900;64700;2.20M;-1.95%
164;Dec 07, 2018;66800;66700;67400;66600;2.53M;1.21%
165;Dec 06, 2018;66000;67800;68200;65700;3.73M;-3.23%
166;Dec 05, 2018;68200;67200;68800;67200;2.84M;-1.16%
167;Dec 04, 2018;69000;69900;70400;68400;3.21M;-2.13%
168;Dec 03, 2018;70500;71000;71100;69800;2.69M;1.29%
169;Nov 30, 2018;69600;71500;71600;68800;4.16M;-2.66%
170;Nov 29, 2018;71500;73700;73700;71200;3.26M;-0.56%
171;Nov 28, 2018;71900;71000;72000;70700;2.43M;1.55%
172;Nov 27, 2018;70800;71100;71200;69700;2.29M;-0.14%
173;Nov 26, 2018;70900;69200;71300;69000;2.35M;2.16%
174;Nov 25, 2018;69400;69300;69400;69100;-;0.14%
175;Nov 23, 2018;69300;69500;69700;68400;1.49M;0.00%
176;Nov 22, 2018;69300;68100;69700;68000;1.96M;1.76%
177;Nov 21, 2018;68100;66900;68300;66100;3.09M;0.89%
178;Nov 20, 2018;67500;67000;68200;67000;3.24M;-3.30%
179;Nov 19, 2018;69800;69600;70500;68900;2.30M;0.00%
180;Nov 18, 2018;69800;69700;69800;69700;-;-0.43%
181;Nov 16, 2018;70100;72600;72900;70000;2.88M;-2.37%
182;Nov 15, 2018;71800;70800;71800;70400;1.56M;1.99%
183;Nov 14, 2018;70400;71400;72100;70200;2.77M;-2.09%
184;Nov 13, 2018;71900;72300;72500;69900;4.60M;-3.49%
185;Nov 12, 2018;74500;72200;74500;71800;3.33M;3.33%
186;Nov 11, 2018;72100;72200;72200;72100;-;-1.10%
187;Nov 09, 2018;72900;72400;73600;71900;3.36M;0.00%
188;Nov 08, 2018;72900;72900;73300;72600;3.93M;2.97%
189;Nov 07, 2018;70800;70400;72300;70100;3.76M;1.00%
190;Nov 06, 2018;70100;70500;70600;69100;2.62M;-0.57%
191;Nov 05, 2018;70500;72000;72100;70100;3.38M;-2.89%
192;Nov 02, 2018;72600;70600;72800;69100;5.32M;6.30%
193;Nov 01, 2018;68300;68900;69600;67800;3.13M;0.15%
194;Oct 31, 2018;68200;69300;70400;67600;5.03M;0.00%
195;Oct 30, 2018;68200;66000;70900;65900;6.09M;2.10%
196;Oct 29, 2018;66800;66600;67800;64800;4.24M;-0.30%
197;Oct 26, 2018;67000;65100;67100;62900;6.02M;3.55%
198;Oct 25, 2018;64700;64700;66000;63200;5.71M;-3.00%
199;Oct 24, 2018;66700;69400;69600;65800;5.69M;-3.47%
