;Date;Price;Open;High;Low;Vol.;Change %
104;Mar 12, 2019;44650;44300;44950;44150;10.83M;2.29%
105;Mar 11, 2019;43650;44400;44450;43650;8.51M;-0.34%
106;Mar 08, 2019;43800;44450;44800;43800;7.70M;-1.46%
107;Mar 07, 2019;44450;43400;44950;43400;10.99M;1.02%
108;Mar 06, 2019;44000;44000;44300;43700;9.95M;-0.56%
109;Mar 05, 2019;44250;44600;45100;44150;10.50M;-1.34%
110;Mar 04, 2019;44850;46000;46100;44800;12.67M;-0.55%
111;Feb 28, 2019;45100;46400;46500;45100;23.50M;-3.53%
112;Feb 27, 2019;46750;47000;47250;46750;7.69M;0.00%
113;Feb 26, 2019;46750;47350;47450;46500;7.98M;-1.27%
114;Feb 25, 2019;47350;47400;47550;47050;7.46M;0.42%
115;Feb 22, 2019;47150;46500;47150;46450;6.67M;0.43%
116;Feb 21, 2019;46950;46500;47200;46200;8.45M;0.11%
117;Feb 20, 2019;46900;46750;47100;46500;11.22M;2.07%
118;Feb 19, 2019;45950;45850;46150;45450;6.73M;-0.54%
119;Feb 18, 2019;46200;46500;46850;45850;8.17M;0.33%
120;Feb 15, 2019;46050;46750;46850;45650;10.54M;-3.05%
121;Feb 14, 2019;47500;46600;47500;46150;17.12M;2.81%
122;Feb 13, 2019;46200;46400;46700;46000;11.29M;0.33%
123;Feb 12, 2019;46050;44650;46250;44650;12.99M;2.33%
124;Feb 11, 2019;45000;44500;45000;44250;10.23M;0.45%
125;Feb 08, 2019;44800;45700;45700;44650;12.49M;-3.03%
126;Feb 07, 2019;46200;46800;47100;46200;15.64M;-0.32%
127;Feb 01, 2019;46350;46650;46950;46250;13.63M;0.43%
128;Jan 31, 2019;46150;46650;47050;46150;21.47M;-0.54%
129;Jan 30, 2019;46400;44800;46400;44800;17.06M;1.98%
130;Jan 29, 2019;45500;45050;45500;44350;15.05M;1.00%
131;Jan 28, 2019;45050;45000;45500;44600;17.60M;0.67%
132;Jan 25, 2019;44750;44300;44750;43750;21.94M;3.95%
133;Jan 24, 2019;43050;43050;43100;42350;14.17M;2.50%
134;Jan 23, 2019;42000;41350;42250;41350;10.38M;-0.36%
135;Jan 22, 2019;42150;42750;42850;41850;9.91M;-1.40%
136;Jan 21, 2019;42750;42700;42750;41900;11.34M;1.06%
137;Jan 18, 2019;42300;42000;42400;41950;9.73M;0.83%
138;Jan 17, 2019;41950;41700;42100;41450;11.57M;1.21%
139;Jan 16, 2019;41450;41150;41450;40700;8.48M;0.85%
140;Jan 15, 2019;41100;40050;41100;39850;11.22M;2.62%
141;Jan 14, 2019;40050;40450;40700;39850;11.98M;-1.11%
142;Jan 11, 2019;40500;40350;40550;39950;11.23M;1.76%
143;Jan 10, 2019;39800;40000;40150;39600;14.33M;0.51%
144;Jan 09, 2019;39600;38650;39600;38300;16.96M;3.94%
145;Jan 08, 2019;38100;38000;39200;37950;12.64M;-1.68%
146;Jan 07, 2019;38750;38000;38900;37800;11.94M;3.47%
147;Jan 04, 2019;37450;37450;37600;36850;13.30M;-0.40%
148;Jan 03, 2019;37600;38300;38550;37450;12.44M;-2.97%
149;Jan 02, 2019;38750;39400;39400;38550;7.79M;0.13%
150;Dec 28, 2018;38700;38250;38900;38200;9.72M;1.18%
151;Dec 27, 2018;38250;38700;38800;38100;10.46M;-0.26%
152;Dec 26, 2018;38350;38400;38750;38300;12.61M;-1.16%
153;Dec 24, 2018;38800;38500;39050;38300;9.72M;0.39%
154;Dec 21, 2018;38650;38200;38650;38100;14.04M;0.00%
155;Dec 20, 2018;38650;38600;39100;38500;10.56M;-1.15%
156;Dec 19, 2018;39100;38900;39350;38850;9.51M;0.51%
157;Dec 18, 2018;38900;38300;39200;38300;10.79M;-0.64%
158;Dec 17, 2018;39150;38650;39600;38650;11.44M;0.51%
159;Dec 14, 2018;38950;40200;40200;38700;18.81M;-2.63%
160;Dec 13, 2018;40000;40650;40750;40000;22.70M;-1.11%
161;Dec 12, 2018;40450;40250;40700;40150;10.61M;0.50%
162;Dec 11, 2018;40250;40600;40700;40200;10.60M;0.12%
163;Dec 10, 2018;40200;40450;40650;40000;13.29M;-1.83%
164;Dec 07, 2018;40950;40900;41400;40850;11.41M;1.11%
165;Dec 06, 2018;40500;40600;41100;40450;14.06M;-2.29%
166;Dec 05, 2018;41450;40900;41750;40850;12.03M;-1.66%
167;Dec 04, 2018;42150;42650;42900;41900;13.97M;-2.54%
168;Dec 03, 2018;43250;42750;43400;42400;11.62M;3.35%
169;Nov 30, 2018;41850;43450;44000;41750;19.08M;-3.01%
170;Nov 29, 2018;43150;43850;43850;42900;8.44M;0.00%
171;Nov 28, 2018;43150;42800;43200;42750;6.86M;0.23%
172;Nov 27, 2018;43050;42900;43100;42500;8.15M;1.06%
173;Nov 26, 2018;42600;42150;42800;42100;5.96M;0.71%
174;Nov 25, 2018;42300;42250;42350;42250;-;-0.24%
175;Nov 23, 2018;42400;42450;42600;41900;5.18M;-0.12%
176;Nov 22, 2018;42450;42000;42650;42000;5.95M;0.83%
177;Nov 21, 2018;42100;41800;42300;41800;10.68M;-1.64%
178;Nov 20, 2018;42800;42450;43000;42100;9.32M;-1.95%
179;Nov 19, 2018;43650;44050;44250;43450;7.50M;-0.34%
180;Nov 18, 2018;43800;44000;44000;43800;-;-0.45%
181;Nov 16, 2018;44000;44600;44750;43700;7.75M;-0.56%
182;Nov 15, 2018;44250;44050;44350;43500;5.85M;0.34%
183;Nov 14, 2018;44100;44500;44500;43800;6.56M;-0.90%
184;Nov 13, 2018;44500;43900;44500;43400;9.02M;-1.55%
185;Nov 12, 2018;45200;43850;45250;43700;8.49M;3.20%
186;Nov 11, 2018;43800;43900;43900;43800;-;-1.13%
187;Nov 09, 2018;44300;44450;44850;43900;7.19M;0.57%
188;Nov 08, 2018;44050;44900;45050;44050;12.32M;0.11%
189;Nov 07, 2018;44000;43600;44500;43400;11.54M;0.57%
190;Nov 06, 2018;43750;43750;43800;42950;7.36M;-0.11%
191;Nov 05, 2018;43800;43750;43800;42900;9.18M;0.23%
192;Nov 04, 2018;43700;43800;43800;43700;-;-1.02%
193;Nov 02, 2018;44150;43050;44250;42800;16.50M;4.74%
194;Nov 01, 2018;42150;42450;42950;42150;12.92M;-0.59%
195;Oct 31, 2018;42400;42900;43350;41700;16.99M;0.12%
196;Oct 30, 2018;42350;41400;43000;41000;14.19M;2.29%
197;Oct 29, 2018;41400;40850;41950;40550;13.03M;0.98%
198;Oct 26, 2018;41000;41100;41300;40400;14.00M;0.00%
199;Oct 25, 2018;41000;40600;41550;40550;18.58M;-3.64%
200;Oct 24, 2018;42550;43050;43100;42250;13.49M;-1.16%
201;Oct 23, 2018;43050;43300;43450;42550;9.44M;-1.15%
202;Oct 22, 2018;43550;43450;43950;43200;7.79M;0.23%
203;Oct 21, 2018;43450;43400;43450;43400;-;-1.03%
204;Oct 19, 2018;43900;43900;44150;43450;7.78M;-0.34%
205;Oct 18, 2018;44050;43950;44450;43700;8.09M;-0.23%
206;Oct 17, 2018;44150;44150;44500;44000;8.30M;1.26%
207;Oct 16, 2018;43600;43700;44150;43350;6.80M;-0.46%
208;Oct 15, 2018;43800;44050;44050;43350;7.19M;-0.45%
209;Oct 14, 2018;44000;44000;44000;44000;-;0.00%
210;Oct 12, 2018;44000;43200;44650;43200;12.37M;2.09%
211;Oct 11, 2018;43100;44000;44650;43100;18.87M;-4.86%
212;Oct 10, 2018;45300;45250;45500;44500;9.75M;0.78%
213;Oct 09, 2018;44950;44950;44950;44950;-;0.00%
214;Oct 08, 2018;44950;44200;45200;44200;6.57M;0.56%
215;Oct 07, 2018;44700;44700;44700;44700;-;0.00%
216;Oct 05, 2018;44700;44800;45500;44550;10.51M;0.00%
217;Oct 04, 2018;44700;45150;45600;44700;11.34M;-2.19%
218;Oct 03, 2018;45700;45700;45700;45700;-;0.00%
219;Oct 02, 2018;45700;46450;46700;45700;6.34M;-1.40%
220;Oct 01, 2018;46350;46450;46800;45800;6.31M;-0.22%
221;Sep 30, 2018;46450;46450;46450;46450;-;0.00%
222;Sep 28, 2018;46450;47250;47250;46300;10.81M;-2.21%
223;Sep 27, 2018;47500;46950;47500;46450;15.26M;0.21%
224;Sep 26, 2018;47400;47400;47400;47400;-;0.00%
225;Sep 21, 2018;47400;46550;47550;46550;14.39M;0.32%
226;Sep 20, 2018;47250;46850;47600;46400;13.40M;2.38%
227;Sep 19, 2018;46150;46000;46200;45700;9.26M;1.43%
228;Sep 18, 2018;45500;44950;45900;44700;8.97M;0.78%
229;Sep 17, 2018;45150;45550;45800;44900;8.10M;-1.53%
230;Sep 16, 2018;45850;45850;45850;45850;-;0.00%
231;Sep 14, 2018;45850;45000;45850;44900;12.03M;4.09%
232;Sep 13, 2018;44050;44550;44750;44000;17.93M;-1.12%
233;Sep 12, 2018;44550;44900;45100;44500;11.17M;-1.11%
234;Sep 11, 2018;45050;45550;45900;45050;7.81M;-0.99%
235;Sep 10, 2018;45500;45450;45550;45000;7.87M;1.34%
236;Sep 09, 2018;44900;44900;44900;44900;-;0.00%
237;Sep 07, 2018;44900;44500;45200;44400;17.73M;-2.60%
238;Sep 06, 2018;46100;46200;46400;45800;8.57M;-1.07%
239;Sep 05, 2018;46600;47300;47450;46400;9.10M;-2.20%
240;Sep 04, 2018;47650;47550;47800;47200;6.61M;0.42%
241;Sep 03, 2018;47450;48200;48300;47300;7.91M;-2.06%
242;Sep 02, 2018;48450;48450;48450;48450;-;0.00%
243;Aug 31, 2018;48450;47100;48450;47000;13.51M;1.68%
244;Aug 30, 2018;47650;46950;47950;46700;12.16M;1.82%
245;Aug 29, 2018;46800;46750;46800;46400;5.50M;0.54%
246;Aug 28, 2018;46550;46800;46950;46300;7.23M;0.54%
247;Aug 27, 2018;46300;46100;46550;46000;5.11M;0.33%
248;Aug 26, 2018;46150;46150;46150;46150;-;0.00%
249;Aug 24, 2018;46150;45900;46400;45550;6.44M;-0.11%
250;Aug 23, 2018;46200;46150;46200;45700;6.60M;0.22%
251;Aug 22, 2018;46100;45150;46200;44900;11.63M;2.90%
252;Aug 21, 2018;44800;43700;44900;43700;9.47M;2.17%
253;Aug 20, 2018;43850;43500;44200;43500;7.20M;-0.57%
254;Aug 19, 2018;44100;44100;44100;44100;-;0.00%
255;Aug 17, 2018;44100;44050;44400;44050;6.54M;-0.34%
256;Aug 16, 2018;44250;43800;44650;43700;10.07M;-1.99%
257;Aug 15, 2018;45150;45150;45150;45150;-;0.00%
258;Aug 14, 2018;45150;44850;45400;44850;6.37M;0.22%
259;Aug 13, 2018;45050;44950;45100;44650;9.78M;-0.77%
260;Aug 12, 2018;45400;45400;45400;45400;-;0.00%
261;Aug 10, 2018;45400;46150;46400;44850;16.53M;-3.20%
262;Aug 09, 2018;46900;47000;47050;46450;11.40M;0.21%
263;Aug 08, 2018;46800;47000;47000;46550;6.37M;0.21%
264;Aug 07, 2018;46700;46300;46750;45900;9.02M;1.97%
265;Aug 06, 2018;45800;46150;46150;45750;6.70M;0.11%
266;Aug 05, 2018;45750;45750;45750;45750;-;0.00%
267;Aug 03, 2018;45750;45850;45900;45450;7.44M;0.44%
268;Aug 02, 2018;45550;46550;46800;45500;7.93M;-2.15%
269;Aug 01, 2018;46550;46050;46850;46050;7.09M;0.65%
270;Jul 31, 2018;46250;46200;46450;46000;7.59M;-0.54%
