;Date;Price;Open;High;Low;Vol.;Change %
146;Dec 28, 2018;118500;118500;120000;117500;397.86K;0.00%
147;Dec 27, 2018;118500;118000;120000;117500;458.38K;-1.25%
148;Dec 26, 2018;120000;121500;122000;118500;547.57K;-2.44%
149;Dec 24, 2018;123000;122000;124000;121500;301.38K;0.41%
150;Dec 21, 2018;122500;120500;122500;119500;643.84K;0.82%
151;Dec 20, 2018;121500;121500;124500;120500;663.66K;-1.22%
152;Dec 19, 2018;123000;118500;123500;118500;840.74K;4.24%
153;Dec 18, 2018;118000;117500;120000;116000;888.29K;1.29%
154;Dec 17, 2018;116500;115000;118500;112500;602.22K;0.00%
155;Dec 14, 2018;116500;119000;120000;115000;523.49K;-1.69%
156;Dec 13, 2018;118500;116500;120000;116500;1.09M;0.00%
157;Dec 12, 2018;118500;111500;121500;111000;1.45M;6.28%
158;Dec 11, 2018;111500;109500;112500;108500;371.26K;0.90%
159;Dec 10, 2018;110500;108500;111000;108500;366.83K;-0.45%
160;Dec 07, 2018;111000;110000;112000;109500;553.82K;0.45%
161;Dec 06, 2018;110500;107500;112500;106000;895.85K;2.79%
162;Dec 05, 2018;107500;106000;108500;106000;518.29K;0.00%
163;Dec 04, 2018;107500;108500;108500;105500;592.20K;-0.92%
164;Dec 03, 2018;108500;108500;109000;106500;626.05K;1.40%
165;Nov 30, 2018;107000;103000;108000;102500;2.66M;7.00%
166;Nov 29, 2018;100000;102000;103000;99100;779.68K;-0.99%
167;Nov 28, 2018;101000;100500;101500;99800;559.06K;0.00%
168;Nov 27, 2018;101000;95900;101500;95800;1.42M;6.20%
169;Nov 26, 2018;95100;93600;95800;93500;661.30K;2.04%
170;Nov 25, 2018;93200;93200;93200;93200;-;-0.53%
171;Nov 23, 2018;93700;92800;94000;92600;557.06K;0.97%
172;Nov 22, 2018;92800;98000;98000;92500;1.52M;-5.11%
173;Nov 21, 2018;97800;96500;97900;95800;823.66K;0.31%
174;Nov 20, 2018;97500;101000;101000;97100;1.29M;-3.94%
175;Nov 19, 2018;101500;103000;103500;101000;552.58K;-1.46%
176;Nov 18, 2018;103000;103000;103000;103000;-;0.00%
177;Nov 16, 2018;103000;104000;104500;102000;359.33K;0.00%
178;Nov 15, 2018;103000;101000;103500;100500;446.86K;1.48%
179;Nov 14, 2018;101500;103500;104500;100500;635.82K;-0.98%
180;Nov 13, 2018;102500;99900;102500;99600;396.51K;0.49%
181;Nov 12, 2018;102000;105000;105500;100500;777.66K;-2.39%
182;Nov 11, 2018;104500;104500;104500;104500;-;-0.48%
183;Nov 09, 2018;105000;106000;110000;104500;666.54K;-0.47%
184;Nov 08, 2018;105500;109000;109000;105500;587.17K;-1.86%
185;Nov 07, 2018;107500;106500;108000;105500;617.43K;0.00%
186;Nov 06, 2018;107500;105000;108500;104500;774.86K;3.37%
187;Nov 05, 2018;104000;107000;107500;103500;879.21K;-4.59%
188;Nov 04, 2018;109000;109000;109000;109000;-;-0.91%
189;Nov 02, 2018;110000;107000;110500;106500;584.65K;1.38%
190;Nov 01, 2018;108500;106500;109000;104500;486.71K;1.88%
191;Oct 31, 2018;106500;106500;107000;103500;693.04K;-0.93%
192;Oct 30, 2018;107500;106500;109500;106000;428.84K;1.42%
193;Oct 29, 2018;106000;106000;108500;104000;724.58K;-1.85%
194;Oct 28, 2018;108000;108000;108000;108000;-;0.00%
195;Oct 26, 2018;108000;110000;113000;107500;857.97K;-1.82%
196;Oct 25, 2018;110000;116000;116000;102500;1.56M;-5.98%
197;Oct 24, 2018;117000;117500;118500;116000;476.07K;0.43%
198;Oct 23, 2018;116500;117000;118000;114000;574.69K;-1.27%
199;Oct 22, 2018;118000;115000;118000;114500;377.58K;2.16%
