;Date;Price;Open;High;Low;Vol.;Change %
142;Jan 07, 2019;343000;340000;350000;337500;295.60K;3.78%
143;Jan 04, 2019;330500;327500;331500;321500;146.74K;0.76%
144;Jan 03, 2019;328000;337500;341000;327500;232.70K;-2.67%
145;Jan 02, 2019;337000;351000;353500;335500;227.11K;-2.88%
146;Dec 28, 2018;347000;349000;352500;345500;107.78K;0.00%
147;Dec 27, 2018;347000;359000;359500;345500;172.35K;-1.70%
148;Dec 26, 2018;353000;350000;356500;347500;190.50K;-1.26%
149;Dec 24, 2018;357500;357000;362500;355000;104.91K;-0.28%
150;Dec 21, 2018;358500;344000;361500;341500;396.31K;4.22%
151;Dec 20, 2018;344000;351500;351500;338000;253.50K;-2.41%
152;Dec 19, 2018;352500;342000;355000;342000;276.63K;3.68%
153;Dec 18, 2018;340000;349000;349500;337500;253.38K;-3.27%
154;Dec 17, 2018;351500;352500;358000;351500;133.42K;0.00%
155;Dec 14, 2018;351500;356500;361000;346000;167.81K;-0.99%
156;Dec 13, 2018;355000;352500;361000;350000;281.62K;1.43%
157;Dec 12, 2018;350000;351500;353000;346000;160.85K;0.14%
158;Dec 11, 2018;349500;343500;351500;343500;162.41K;1.30%
159;Dec 10, 2018;345000;347500;351000;340500;179.28K;-1.85%
160;Dec 07, 2018;351500;355000;360000;351000;131.34K;-0.57%
161;Dec 06, 2018;353500;358000;363500;350000;175.63K;-0.28%
162;Dec 05, 2018;354500;350000;357500;348000;143.76K;-1.12%
163;Dec 04, 2018;358500;364000;364000;354500;214.47K;-1.78%
164;Dec 03, 2018;365000;351500;366000;351500;327.52K;5.64%
165;Nov 30, 2018;345500;349500;351500;344000;303.02K;-0.58%
166;Nov 29, 2018;347500;351000;351500;345500;232.91K;0.14%
167;Nov 28, 2018;347000;344000;347500;340500;287.27K;1.17%
168;Nov 27, 2018;343000;337000;343000;330000;198.80K;2.39%
169;Nov 26, 2018;335000;330500;338000;329000;209.79K;1.21%
170;Nov 25, 2018;331000;329500;331000;329500;-;0.76%
171;Nov 23, 2018;328500;338000;343000;327500;147.72K;-2.81%
172;Nov 22, 2018;338000;341000;341000;335000;128.43K;-0.73%
173;Nov 21, 2018;340500;335500;343500;334500;153.21K;0.29%
174;Nov 20, 2018;339500;343500;344500;335000;170.04K;-1.74%
175;Nov 19, 2018;345500;342000;346000;341000;117.52K;0.73%
176;Nov 18, 2018;343000;345000;345000;343000;-;-0.44%
177;Nov 16, 2018;344500;344500;347500;342000;181.00K;0.73%
178;Nov 15, 2018;342000;337000;342500;335000;150.26K;0.59%
179;Nov 14, 2018;340000;338000;343000;332000;265.31K;1.34%
180;Nov 13, 2018;335500;328500;335500;321500;187.90K;0.60%
181;Nov 12, 2018;333500;328500;335000;323500;178.50K;1.68%
182;Nov 11, 2018;328000;328000;328000;328000;-;0.15%
183;Nov 09, 2018;327500;335000;339000;326500;334.52K;-2.24%
184;Nov 08, 2018;335000;345000;347000;335000;344.55K;-1.47%
185;Nov 07, 2018;340000;348000;350000;338500;360.75K;-2.86%
186;Nov 06, 2018;350000;359500;359500;345500;191.12K;-1.69%
187;Nov 05, 2018;356000;356500;363500;348000;177.39K;-0.56%
188;Nov 02, 2018;358000;347000;359000;345000;238.85K;5.60%
189;Nov 01, 2018;339000;350000;352500;338500;208.85K;-2.31%
190;Oct 31, 2018;347000;336000;348000;330000;250.86K;2.51%
191;Oct 30, 2018;338500;335500;346000;329500;275.72K;0.89%
192;Oct 29, 2018;335500;340000;348000;331500;448.34K;3.55%
193;Oct 26, 2018;324000;344000;344500;317500;314.97K;-4.57%
194;Oct 25, 2018;339500;323500;339500;323000;264.43K;2.72%
195;Oct 24, 2018;330500;334500;343000;328000;271.36K;0.46%
196;Oct 23, 2018;329000;334500;337000;326000;147.15K;-2.52%
197;Oct 22, 2018;337500;328000;339000;323000;197.06K;2.74%
198;Oct 21, 2018;328500;328000;328500;328000;-;-0.45%
199;Oct 19, 2018;330000;314000;333500;313500;241.59K;4.10%
200;Oct 18, 2018;317000;326000;328500;316000;135.70K;-2.46%
201;Oct 17, 2018;325000;325000;329000;321500;136.41K;2.04%
202;Oct 16, 2018;318500;329000;329000;318500;145.57K;-1.85%
203;Oct 15, 2018;324500;317000;329500;316000;233.89K;2.85%
204;Oct 14, 2018;315500;315500;315500;315500;-;0.00%
205;Oct 12, 2018;315500;307000;319000;305000;256.16K;2.77%
206;Oct 11, 2018;307000;307000;311500;302000;376.88K;-2.85%
207;Oct 10, 2018;316000;323000;326500;316000;248.21K;-1.71%
208;Oct 09, 2018;321500;321500;321500;321500;-;0.00%
209;Oct 08, 2018;321500;321000;327000;319000;196.61K;-0.77%
210;Oct 07, 2018;324000;324000;324000;324000;-;0.00%
211;Oct 05, 2018;324000;331500;334500;319500;365.20K;-1.67%
212;Oct 04, 2018;329500;355000;355500;328500;470.82K;-6.66%
213;Oct 03, 2018;353000;353000;353000;353000;-;0.00%
214;Oct 02, 2018;353000;370500;373000;351000;259.50K;-4.21%
215;Oct 01, 2018;368500;365500;372000;365500;166.54K;0.82%
216;Sep 30, 2018;365500;365500;365500;365500;-;0.00%
217;Sep 28, 2018;365500;370500;373000;365000;186.05K;-1.22%
218;Sep 27, 2018;370000;360000;372500;360000;252.17K;0.82%
219;Sep 26, 2018;367000;367000;367000;367000;-;0.00%
220;Sep 21, 2018;367000;364500;367500;360000;197.69K;1.66%
221;Sep 20, 2018;361000;358500;364000;354000;205.99K;0.28%
222;Sep 19, 2018;360000;371000;371000;359000;230.35K;-1.91%
223;Sep 18, 2018;367000;354500;367000;350500;283.40K;3.67%
224;Sep 17, 2018;354000;359000;363500;353000;236.13K;0.57%
225;Sep 16, 2018;352000;352000;352000;352000;-;0.00%
226;Sep 14, 2018;352000;348500;356000;348500;166.07K;0.57%
227;Sep 13, 2018;350000;347000;354000;346500;330.43K;1.89%
228;Sep 12, 2018;343500;343000;348500;341500;154.25K;0.73%
229;Sep 11, 2018;341000;347000;351000;338000;295.80K;-1.73%
230;Sep 10, 2018;347000;348500;356000;346000;207.41K;-1.42%
231;Sep 09, 2018;352000;352000;352000;352000;-;0.00%
232;Sep 07, 2018;352000;351500;356000;344500;170.89K;0.28%
233;Sep 06, 2018;351000;358000;360500;349000;248.46K;-1.96%
234;Sep 05, 2018;358000;367000;368000;356500;227.36K;-2.59%
235;Sep 04, 2018;367500;369500;371500;364000;144.42K;-0.14%
236;Sep 03, 2018;368000;365500;370500;360500;177.56K;0.55%
237;Sep 02, 2018;366000;366000;366000;366000;-;0.00%
