;Date;Price;Open;High;Low;Vol.;Change %
226;Sep 17, 2018;29800;30000;30000;29750;657.74K;-0.33%
227;Sep 16, 2018;29900;29900;29900;29900;-;0.00%
228;Sep 14, 2018;29900;30050;30150;29900;903.20K;-0.17%
229;Sep 13, 2018;29950;30450;30450;29900;1.29M;-1.16%
230;Sep 12, 2018;30300;30400;30650;30200;880.07K;-0.16%
231;Sep 11, 2018;30350;30050;30500;29900;1.04M;0.33%
232;Sep 10, 2018;30250;30050;30250;30000;766.34K;0.00%
233;Sep 09, 2018;30250;30250;30250;30250;-;0.00%
234;Sep 07, 2018;30250;30450;30450;30100;736.88K;0.17%
235;Sep 06, 2018;30200;30150;30400;30100;681.71K;0.50%
236;Sep 05, 2018;30050;30000;30300;29950;871.92K;0.33%
237;Sep 04, 2018;29950;30350;30450;29850;1.56M;-1.16%
238;Sep 03, 2018;30300;30450;30550;30250;775.67K;-0.66%
239;Sep 02, 2018;30500;30500;30500;30500;-;0.00%
240;Aug 31, 2018;30500;30600;30750;30400;628.56K;-0.16%
241;Aug 30, 2018;30550;30800;30800;30350;1.24M;-0.81%
242;Aug 29, 2018;30800;30950;31050;30750;609.80K;-0.32%
243;Aug 28, 2018;30900;30800;30950;30650;727.39K;0.49%
244;Aug 27, 2018;30750;30850;31100;30750;831.62K;0.00%
245;Aug 26, 2018;30750;30750;30750;30750;-;0.00%
246;Aug 24, 2018;30750;30550;30900;30550;850.90K;0.49%
247;Aug 23, 2018;30600;30750;30800;30600;635.04K;-0.49%
248;Aug 22, 2018;30750;30750;30950;30600;795.66K;0.00%
249;Aug 21, 2018;30750;30900;31000;30550;1.13M;-1.60%
250;Aug 20, 2018;31250;30700;31400;30700;1.02M;1.96%
251;Aug 19, 2018;30650;30650;30650;30650;-;0.00%
252;Aug 17, 2018;30650;31000;31050;30500;674.06K;-0.33%
253;Aug 16, 2018;30750;30350;30950;30350;1.08M;1.32%
254;Aug 15, 2018;30350;30350;30350;30350;-;0.00%
255;Aug 14, 2018;30350;30750;30750;30200;1.95M;-2.57%
256;Aug 13, 2018;31150;31400;31400;30900;955.75K;-1.27%
257;Aug 12, 2018;31550;31550;31550;31550;-;0.00%
258;Aug 10, 2018;31550;31050;31800;30800;1.64M;1.12%
259;Aug 09, 2018;31200;30500;31200;30350;1.83M;2.80%
260;Aug 08, 2018;30350;30500;30750;30300;1.63M;-0.33%
261;Aug 07, 2018;30450;30950;31100;30250;2.36M;-1.93%
262;Aug 06, 2018;31050;31500;31600;30850;1.86M;-2.51%
263;Aug 05, 2018;31850;31850;31850;31850;-;0.00%
264;Aug 03, 2018;31850;31600;32200;31450;614.21K;0.16%
265;Aug 02, 2018;31800;32200;32350;31550;973.81K;-1.70%
266;Aug 01, 2018;32350;32750;32750;32100;1.60M;-2.85%
267;Jul 31, 2018;33300;33150;33300;32700;961.49K;1.22%
