;Date;Price;Open;High;Low;Vol.;Change %
56;May 15, 2019;240000;238000;241000;237500;138.14K;0.21%
57;May 14, 2019;239500;238000;241000;235000;234.75K;0.42%
58;May 13, 2019;238500;238500;241500;238000;142.90K;-1.04%
59;May 10, 2019;241000;244000;246500;239500;276.96K;-1.63%
60;May 09, 2019;245000;247500;248000;243000;481.80K;-1.21%
61;May 08, 2019;248000;246500;249500;246500;181.43K;-0.80%
62;May 07, 2019;250000;249000;251000;247500;273.92K;-0.99%
63;May 03, 2019;252500;253500;254500;251000;277.88K;-0.59%
64;May 02, 2019;254000;251500;256000;251500;306.70K;-0.39%
65;Apr 30, 2019;255000;256500;258000;253500;300.73K;-0.78%
66;Apr 29, 2019;257000;254000;257000;252000;222.91K;0.98%
67;Apr 26, 2019;254500;258500;258500;253000;340.65K;-2.30%
68;Apr 25, 2019;260500;262500;262500;258500;238.10K;0.77%
69;Apr 24, 2019;258500;263000;266000;257500;290.90K;-0.96%
70;Apr 23, 2019;261000;263000;263000;260000;154.19K;-0.95%
71;Apr 22, 2019;263500;263500;264000;260000;142.81K;0.00%
72;Apr 19, 2019;263500;271500;271500;263000;244.50K;-2.41%
73;Apr 18, 2019;270000;273500;274500;268000;214.96K;-0.55%
74;Apr 17, 2019;271500;268000;273000;266000;241.66K;1.12%
75;Apr 16, 2019;268500;266000;269500;266000;227.50K;0.19%
76;Apr 15, 2019;268000;270500;271500;266500;172.66K;-0.37%
77;Apr 12, 2019;269000;270000;272000;268000;154.04K;-0.19%
78;Apr 11, 2019;269500;274000;275000;269500;316.68K;-1.28%
79;Apr 10, 2019;273000;271000;273500;268500;189.00K;0.00%
80;Apr 09, 2019;273000;275000;276000;272500;158.37K;-1.27%
81;Apr 08, 2019;276500;276000;279000;272000;216.79K;0.55%
82;Apr 05, 2019;275000;274000;276500;273000;136.85K;1.29%
83;Apr 04, 2019;271500;273000;275500;268500;170.00K;-0.55%
84;Apr 03, 2019;273000;265500;273000;265500;217.12K;2.25%
85;Apr 02, 2019;267000;267000;269500;266000;211.32K;0.19%
86;Apr 01, 2019;266500;254500;267000;254500;383.84K;5.34%
87;Mar 29, 2019;253000;254000;254500;251000;166.10K;-0.59%
88;Mar 28, 2019;254500;251500;255000;250500;122.67K;-0.20%
89;Mar 27, 2019;255000;255500;256000;252500;160.94K;0.20%
90;Mar 26, 2019;254500;253000;257500;253000;192.42K;0.59%
91;Mar 25, 2019;253000;252000;255000;250500;214.68K;-2.32%
92;Mar 22, 2019;259000;258000;263500;257000;208.07K;0.39%
93;Mar 21, 2019;258000;256000;261000;255000;251.76K;0.58%
94;Mar 20, 2019;256500;259500;260500;253000;205.74K;-1.16%
95;Mar 19, 2019;259500;258500;260000;257500;153.73K;0.58%
96;Mar 18, 2019;258000;261500;261500;257500;124.27K;-1.53%
97;Mar 15, 2019;262000;257500;262000;257000;271.40K;1.95%
98;Mar 14, 2019;257000;256500;257000;253500;391.90K;0.59%
99;Mar 13, 2019;255500;253000;256000;252000;215.10K;1.59%
100;Mar 12, 2019;251500;250000;253500;248500;215.38K;1.41%
101;Mar 11, 2019;248000;250000;252000;245500;199.35K;-0.60%
102;Mar 08, 2019;249500;251000;255000;249000;221.95K;-0.40%
103;Mar 07, 2019;250500;256500;257000;250000;269.48K;-1.76%
104;Mar 06, 2019;255000;256500;258500;254000;181.63K;-0.20%
105;Mar 05, 2019;255500;261500;263000;253000;375.90K;-3.04%
106;Mar 04, 2019;263500;264000;267000;262500;301.39K;0.19%
107;Feb 28, 2019;263000;267500;268000;262500;367.04K;-1.13%
108;Feb 27, 2019;266000;272500;273500;265500;321.76K;-2.74%
109;Feb 26, 2019;273500;271000;275000;270000;212.47K;0.37%
110;Feb 25, 2019;272500;273500;275000;270500;182.44K;-0.18%
111;Feb 22, 2019;273000;274000;274000;270500;131.59K;-0.91%
112;Feb 21, 2019;275500;273000;276500;270000;242.59K;0.73%
113;Feb 20, 2019;273500;269500;275000;269500;346.15K;1.86%
114;Feb 19, 2019;268500;263000;269500;262000;236.57K;2.29%
115;Feb 18, 2019;262500;265500;267500;262000;268.22K;-1.13%
116;Feb 15, 2019;265500;264500;267000;263000;153.79K;-0.38%
117;Feb 14, 2019;266500;264000;266500;260000;365.48K;-0.19%
118;Feb 13, 2019;267000;267000;268000;265500;188.82K;0.56%
119;Feb 12, 2019;265500;268000;268000;262500;174.12K;-0.56%
120;Feb 11, 2019;267000;266000;269000;261500;261.96K;1.14%
121;Feb 08, 2019;264000;271000;271500;263000;368.50K;-4.35%
122;Feb 07, 2019;276000;272000;279500;268500;360.75K;2.03%
123;Feb 01, 2019;270500;273000;275500;270000;274.11K;-1.28%
124;Jan 31, 2019;274000;288500;289000;274000;408.68K;-3.86%
125;Jan 30, 2019;285000;274500;285000;271000;530.68K;6.15%
126;Jan 29, 2019;268500;266000;268500;264000;179.70K;-0.19%
127;Jan 28, 2019;269000;268500;272500;266000;247.46K;0.37%
128;Jan 25, 2019;268000;262500;270000;262000;281.80K;1.32%
129;Jan 24, 2019;264500;261500;267000;261000;309.21K;-0.19%
130;Jan 23, 2019;265000;265500;269000;260000;200.94K;-0.75%
131;Jan 22, 2019;267000;269000;270500;266000;253.33K;-0.37%
132;Jan 21, 2019;268000;265500;269500;265000;247.33K;2.10%
133;Jan 18, 2019;262500;264500;267000;261000;198.77K;-0.19%
134;Jan 17, 2019;263000;262500;266500;257500;252.09K;-0.19%
135;Jan 16, 2019;263500;255000;265000;254500;315.44K;2.73%
136;Jan 15, 2019;256500;251000;257500;251000;204.02K;2.60%
137;Jan 14, 2019;250000;253000;255500;248500;180.71K;-2.15%
138;Jan 11, 2019;255500;257000;258000;253000;208.61K;-1.16%
139;Jan 10, 2019;258500;256000;258500;250000;281.84K;1.17%
140;Jan 09, 2019;255500;246500;258000;246500;376.58K;4.07%
141;Jan 08, 2019;245500;248500;248500;243500;106.57K;-0.20%
142;Jan 07, 2019;246000;245500;250500;244000;298.44K;2.93%
143;Jan 04, 2019;239000;235000;239500;232500;200.20K;0.84%
144;Jan 03, 2019;237000;237000;238000;230500;235.08K;0.00%
145;Jan 02, 2019;237000;244500;246500;236000;174.96K;-2.47%
146;Dec 28, 2018;243000;244000;245000;241000;130.49K;0.62%
147;Dec 27, 2018;241500;244500;245500;241000;175.80K;-1.23%
148;Dec 26, 2018;244500;244000;246500;243500;187.69K;-1.61%
149;Dec 24, 2018;248500;240500;249000;240000;168.97K;1.64%
150;Dec 21, 2018;244500;248000;248500;242000;375.91K;-2.40%
151;Dec 20, 2018;250500;250500;251500;247000;190.09K;-1.76%
152;Dec 19, 2018;255000;252000;255500;249500;165.93K;0.79%
153;Dec 18, 2018;253000;255000;257000;251000;190.03K;-1.94%
154;Dec 17, 2018;258000;255000;259000;252500;230.46K;1.57%
155;Dec 14, 2018;254000;256000;260000;250000;268.19K;0.20%
156;Dec 13, 2018;253500;251000;255500;250000;508.79K;1.81%
157;Dec 12, 2018;249000;249000;252500;247000;238.88K;1.01%
158;Dec 11, 2018;246500;245500;248000;244000;150.84K;-0.60%
159;Dec 10, 2018;248000;246000;248000;240000;244.92K;-0.60%
160;Dec 07, 2018;249500;249000;251000;246000;171.43K;0.60%
161;Dec 06, 2018;248000;249500;251500;244000;244.40K;-0.40%
162;Dec 05, 2018;249000;249000;254500;246500;276.20K;-2.35%
163;Dec 04, 2018;255000;257500;259000;253500;251.60K;-1.73%
164;Dec 03, 2018;259500;255500;260000;253000;482.20K;4.85%
